filling time,[CH4] (ppb),δD SMOW (‰)
2016-11-08 09:19:00,2112.0,-99.01
2016-11-08 10:03:00,2063.0,-100.01
2016-11-08 10:25:00,2041.5965754153847,-86.21
2016-11-08 11:09:00,2022.5965754153847,-88.81
2016-11-08 11:31:00,2056.0,-94.64
2016-11-08 12:15:00,2019.0,-95.5
2016-11-08 12:37:00,2032.5965754153847,-92.33
2016-11-08 13:21:00,2029.5965754153847,-87.64
2016-11-08 13:42:00,2026.0,-91.04
2016-11-08 14:26:00,2045.0,-94.22
2016-11-08 14:48:00,2043.5965754153847,-94.78
2016-11-08 15:32:00,2070.5965754153845,-102.88
2016-11-08 15:54:00,2048.0,-93.28
2016-11-08 16:38:00,2046.0,-96.95
2016-11-08 17:00:00,2077.5965754153845,-101.42
2016-11-08 17:44:00,2137.5965754153845,-101.62
2016-11-08 18:06:00,2127.0,-102.04
2016-11-08 18:50:00,2124.0,-96.19
2016-11-08 19:12:00,2112.5965754153845,-106.53
2016-11-08 19:56:00,2173.5965754153845,-112.56
2016-11-08 20:18:00,2163.0,-103.95
2016-11-08 21:01:00,2120.0,-96.37
2016-11-09 02:53:00,,-110.03
2016-11-09 03:37:00,,-111.75
2016-11-09 03:59:00,,-118.15
2016-11-09 04:42:00,,-113.17
2016-11-09 05:04:00,,-114.77
2016-11-09 05:48:00,,-112.51
2016-11-09 06:10:00,,-116.14
2016-11-09 06:54:00,,-111.15
2016-11-14 08:58:00,2484.81235944,-129.19
2016-11-14 09:32:00,2408.81235944,-126.6
2016-11-14 10:40:00,2361.81235944,-125.1
2016-11-14 11:14:00,2306.81235944,-123.98
2016-11-14 12:21:00,2238.81235944,-112.58
2016-11-14 12:55:00,2221.81235944,-111.83
2016-11-14 14:03:00,2210.81235944,-109.94
2016-11-14 14:37:00,2192.81235944,-105.88
2016-11-14 15:44:00,2192.81235944,-105.99
2016-11-14 16:18:00,2199.81235944,-107.19
2016-11-14 17:26:00,2242.81235944,-110.94
2016-11-14 21:43:00,2212.81235944,-112.21
2016-11-14 22:17:00,2190.81235944,-112.74
2016-11-14 23:24:00,2225.81235944,-109.05
2016-11-14 23:58:00,2215.81235944,-109.39
2016-11-15 01:06:00,2174.81235944,-106.89
2016-11-15 01:39:00,2147.81235944,-109.49
2016-11-15 02:47:00,2152.81235944,-109.52
2016-11-15 03:21:00,2193.81235944,-109.49
2016-11-15 04:29:00,2184.81235944,-111.22
2016-11-15 05:02:00,2185.81235944,-109.46
2016-11-15 06:10:00,2156.81235944,-108.32
2016-11-15 06:44:00,2155.81235944,-106.72
2016-11-15 07:51:00,2189.81235944,-106.63
2016-11-15 08:25:00,2134.81235944,-102.7
2016-11-15 09:33:00,2023.81235944,-91.07
2016-11-15 10:07:00,1973.81235944,-82.97
2016-11-15 14:41:00,1945.81235944,-91.01
2016-11-15 15:15:00,1932.81235944,-80.47
2016-11-15 16:23:00,1935.81235944,-84.58
2016-11-15 16:56:00,1936.81235944,-82.65
2016-11-15 18:04:00,1940.81235944,-80.26
2016-11-15 18:38:00,1934.81235944,-77.8
2016-11-15 19:45:00,1945.81235944,-87.41
2016-11-15 20:19:00,1980.81235944,-90.51
2016-11-15 21:27:00,1917.81235944,-77.48
2016-11-15 22:01:00,1945.81235944,-84.35
2016-11-15 23:08:00,2057.81235944,-96.07
2016-11-15 23:42:00,2083.81235944,-99.87
2016-11-16 00:50:00,2088.81235944,-93.31
2016-11-16 01:24:00,2097.81235944,-98.11
